Scenario,Symbol,Company_Name,Sector,Weight,Position_Value,Factor_Stress_Return,Stress_PnL,Stress_Value,Contribution,Momentum_PnL,LowVol_PnL,Size_PnL,Liquidity_PnL,Trend_PnL,Loss_Rank
MOMENTUM_CRASH,POLYCAB,Polycab India Limited,Industrials,0.02402013775341455,240201.3775341455,0.012505275186004994,3003.784326121967,243205.16186026746,0.0003003784326121967,3003.784326121967,0.0,0.0,0.0,0.0,20.0
MOMENTUM_CRASH,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,0.02397635874706965,239763.58747069648,0.0638826170232638,15316.725434514314,255080.3129052108,0.0015316725434514314,15316.725434514314,0.0,0.0,0.0,0.0,36.0
MOMENTUM_CRASH,POWERINDIA,Hitachi Energy India Limited,Industrials,0.02369572345568145,236957.23455681448,-0.08773787029932041,-20790.123112031433,216167.11144478305,-0.0020790123112031434,-20790.123112031433,0.0,0.0,0.0,0.0,7.0
MOMENTUM_CRASH,SBIN,State Bank of India,Financial Services,0.023272599684859244,232725.99684859245,0.1060475708261704,24680.02663389222,257406.02348248466,0.002468002663389222,24680.02663389222,0.0,0.0,0.0,0.0,47.0
MOMENTUM_CRASH,ADANIPOWER,Adani Power Limited,Utilities,0.023252624001241545,232526.24001241545,-0.06019733224424903,-13997.459325533366,218528.7806868821,-0.0013997459325533366,-13997.459325533366,0.0,0.0,0.0,0.0,8.0
MOMENTUM_CRASH,BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,0.023228423696124444,232284.23696124443,0.09477957893166854,22015.802171650666,254300.0391328951,0.0022015802171650666,22015.802171650666,0.0,0.0,0.0,0.0,43.0
MOMENTUM_CRASH,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,0.023092627084715846,230926.27084715848,0.039429454020345575,9105.296778457903,240031.5676256164,0.0009105296778457903,9105.296778457903,0.0,0.0,0.0,0.0,29.0
MOMENTUM_CRASH,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,0.022992122933152843,229921.22933152845,0.07591969787948719,17455.550266929928,247376.77959845838,0.0017455550266929928,17455.550266929928,0.0,0.0,0.0,0.0,38.0
MOMENTUM_CRASH,BHEL,Bharat Heavy Electricals Limited,Industrials,0.022901695015588145,229016.95015588144,0.01665325501774561,3813.8776743322287,232830.82783021368,0.0003813877674332229,3813.8776743322287,0.0,0.0,0.0,0.0,23.0
MOMENTUM_CRASH,MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,0.022657684790621545,226576.84790621544,0.04604219508729291,10432.095433561864,237008.9433397773,0.0010432095433561865,10432.095433561864,0.0,0.0,0.0,0.0,31.0
MOMENTUM_CRASH,GVT&D,GE Vernova T&D India Ltd,Industrials,0.022655167454010246,226551.67454010245,-0.09867033566192426,-22353.929771642932,204197.74476845952,-0.002235392977164293,-22353.929771642932,0.0,0.0,0.0,0.0,6.0
MOMENTUM_CRASH,INDUSTOWER,Indus Towers Limited,Communication Services,0.022585337020469245,225853.37020469244,0.13876782940409674,31341.181946905068,257194.5521515975,0.0031341181946905067,31341.181946905068,0.0,0.0,0.0,0.0,50.0
MOMENTUM_CRASH,NESTLEIND,Nestlé India Limited,Consumer Defensive,0.022438738535261845,224387.38535261844,0.10033570543735862,22514.066600599403,246901.45195321785,0.0022514066600599404,22514.066600599403,0.0,0.0,0.0,0.0,45.0
MOMENTUM_CRASH,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,0.022426706882935046,224267.06882935046,0.03441910353887428,7719.071462397258,231986.14029174772,0.0007719071462397258,7719.071462397258,0.0,0.0,0.0,0.0,28.0
MOMENTUM_CRASH,TITAN,Titan Company Limited,Consumer Cyclical,0.022405024782387546,224050.24782387546,0.11804627068666336,26448.29620203121,250498.54402590665,0.002644829620203121,26448.29620203121,0.0,0.0,0.0,0.0,49.0
MOMENTUM_CRASH,TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,0.022279538995463546,222795.38995463547,0.06583760802069853,14668.315552651966,237463.70550728744,0.0014668315552651965,14668.315552651966,0.0,0.0,0.0,0.0,35.0
MOMENTUM_CRASH,ATHERENERG,Ather Energy Limited,Consumer Cyclical,0.022158026312308544,221580.26312308543,-0.22347366151795414,-49517.35272022761,172062.91040285781,-0.004951735272022761,-49517.35272022761,0.0,0.0,0.0,0.0,2.0
MOMENTUM_CRASH,TATASTEEL,Tata Steel Limited,Basic Materials,0.021762104560095846,217621.04560095846,0.09833730920504445,21400.26805078653,239021.31365174497,0.0021400268050786528,21400.26805078653,0.0,0.0,0.0,0.0,42.0
MOMENTUM_CRASH,BSE,BSE Limited,Financial Services,0.02168507995311434,216850.7995311434,0.002094375176171812,454.1669314710367,217304.96646261442,4.541669314710367e-05,454.1669314710367,0.0,0.0,0.0,0.0,17.0
MOMENTUM_CRASH,LAURUSLABS,Laurus Labs Limited,Healthcare,0.021430547404452743,214305.47404452742,-0.05572623672132371,-11942.437577280829,202363.0364672466,-0.001194243757728083,-11942.437577280829,0.0,0.0,0.0,0.0,10.0
MOMENTUM_CRASH,JSWSTEEL,JSW Steel Limited,Basic Materials,0.021342324873958343,213423.24873958342,0.07857704152452967,16770.16747851027,230193.41621809368,0.001677016747851027,16770.16747851027,0.0,0.0,0.0,0.0,37.0
MOMENTUM_CRASH,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,0.021201270135853042,212012.7013585304,0.08308413047538692,17614.890942111382,229627.5923006418,0.0017614890942111382,17614.890942111382,0.0,0.0,0.0,0.0,39.0
MOMENTUM_CRASH,HINDALCO,Hindalco Industries Limited,Basic Materials,0.021085019525896143,210850.19525896144,0.053875480554705264,11359.655594629985,222209.85085359143,0.0011359655594629986,11359.655594629985,0.0,0.0,0.0,0.0,33.0
MOMENTUM_CRASH,APARINDS,APAR Industries Limited,Industrials,0.021034334860252742,210343.34860252743,-0.12105994159992484,-25464.153497754603,184879.19510477284,-0.0025464153497754606,-25464.153497754603,0.0,0.0,0.0,0.0,5.0
MOMENTUM_CRASH,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,0.02098866569632144,209886.65696321442,0.11811743191545118,24791.272913814137,234677.92987702857,0.0024791272913814136,24791.272913814137,0.0,0.0,0.0,0.0,48.0
MOMENTUM_CRASH,FEDERALBNK,The Federal Bank Limited,Financial Services,0.02065365663362294,206536.5663362294,0.03368212122374029,6956.589664471958,213493.15600070136,0.0006956589664471957,6956.589664471958,0.0,0.0,0.0,0.0,25.0
MOMENTUM_CRASH,KEI,KEI Industries Limited,Industrials,0.020430694071626742,204306.94071626742,0.03416632935119767,6980.41822524761,211287.35894151503,0.000698041822524761,6980.41822524761,0.0,0.0,0.0,0.0,26.0
MOMENTUM_CRASH,GRASIM,Grasim Industries Limited,Basic Materials,0.01996675105820084,199667.5105820084,0.08882269938259447,17735.007268896734,217402.51785090513,0.0017735007268896734,17735.007268896734,0.0,0.0,0.0,0.0,40.0
MOMENTUM_CRASH,SAIL,Steel Authority of India Limited,Basic Materials,0.019960425500407337,199604.25500407338,0.03706560367311308,7398.452207447983,207002.70721152137,0.0007398452207447982,7398.452207447983,0.0,0.0,0.0,0.0,27.0
MOMENTUM_CRASH,NATIONALUM,National Aluminium Company Limited,Basic Materials,0.01984674381967204,198467.43819672038,-0.003766868552254814,-747.6007515898019,197719.83744513057,-7.476007515898019e-05,-747.6007515898019,0.0,0.0,0.0,0.0,16.0
MOMENTUM_CRASH,WAAREEENER,WAAREE ENERGIES LIMITED,Technology,0.019798209346551937,197982.09346551937,0.11981529864937912,23721.283655800493,221703.37712131988,0.002372128365580049,23721.283655800493,0.0,0.0,0.0,0.0,46.0
MOMENTUM_CRASH,MARICO,Marico Limited,Consumer Defensive,0.01885890922349914,188589.0922349914,0.10372056689540447,19560.56755690303,208149.65979189443,0.001956056755690303,19560.56755690303,0.0,0.0,0.0,0.0,41.0
MOMENTUM_CRASH,CUPID,Cupid Limited,Consumer Defensive,0.018621254952984737,186212.54952984737,-0.8523304684514276,-158714.62957230947,27497.919957537903,-0.015871462957230947,-158714.62957230947,0.0,0.0,0.0,0.0,1.0
